id,chain_code,code,type,address,city,zipcode,lat,lon,phone
70,konzum,3222,supermarket,Trg Kralja Tomislava 17,Daruvar,43500,45.5923704,17.2244228,+385800400000
52,konzum,0463,supermarket,Rubeši 78 A,Rubeši,51215,45.363545,14.342454,+385800400000
30,konzum,0458,supermarket,Trg Maršala Tita 12A,Matulji,51211,45.3638634,14.3242504,+385800400000
84,konzum,1435,supermarket,Ulica Kralja Tomislava 56A,Križevci,48260,46.0168671,16.544098,+385800400000
82,konzum,0602,supermarket,Ozaljska 148,Zagreb,10000,45.797355,15.93788,+385800400000
22,konzum,3220,supermarket,Radnička Ulica 2 A,Novska,44330,45.3401494,16.9743832,+385800400000
31,konzum,1420,supermarket,V. Nazora 5,Đurđevac,48350,46.0396882,17.065425,+385800400000
62,konzum,0738,supermarket,Prilaz Dr. Franje Tuđmana 9A,Zabok,49210,46.0135913,15.8853603,+385800400000
47,konzum,1325,supermarket,Josipa Rimca 7,Slavonski Brod,35000,45.1596029,17.9991384,+385800400000
79,konzum,1830,supermarket,Ulica Hrvatske Republike 21,Osijek,31000,45.5581069,18.6789515,+385800400000
58,konzum,0222,supermarket,Ul. Grada Vukovara 275,Zagreb,10000,45.8036531,16.014149,+385800400000
43,konzum,0301,supermarket,Antuna Mihanovića 3,Vinkovci,32100,45.293029,18.804313,+385800400000
21,konzum,3251,supermarket,Zagrebačka 87,Čakovec,40000,46.381152,16.4159931,+385800400000
7,konzum,0893,supermarket,Ivana Pavla Ii 1,Dubrovnik,20000,42.66254,18.08367,+385800400000
40,konzum,0736,supermarket,Trg Dr. Franje Tuđmana 8,Virovitica,33000,45.83113,17.38742,+385800400000
23,konzum,0207,hipermarket,Dubrava 241,Zagreb,10000,45.828735,16.080013,+385800400000
4,konzum,0912,supermarket,Hrvoja Vukčić - Hrvatinića 96 A,Vinkovci,32100,45.275245,18.80541,+385800400000
32,konzum,3271,hipermarket,Osječka 71,Rijeka,51000,45.3513,14.41612,+385800400000
12,konzum,0612,supermarket,Fkk Koversada,Vrsar,52450,45.13441,13.605529,+385800400000
8,konzum,0432,supermarket,Kamik 24,Banjole,52100,44.825805,13.878359,+385800400000
67,konzum,0201,hipermarket,Bjelovarska 48B,Sesvete,10360,45.823928,16.117099,+385800400000
73,konzum,1210,hipermarket,Sisačka Cesta 2,Zagreb,10020,45.756553,15.945823,+385800400000
44,konzum,1506,supermarket,Lopar 284A,Lopar,51281,44.8289103,14.7290912,+385800400000
56,konzum,0037,supermarket,Maksimirska Cesta 1,Zagreb,10000,45.815315,15.996605,+385800400000
57,konzum,0206,supermarket,Stjepana Radića 27,Krk,51500,45.031813,14.571622,+385800400000
25,konzum,0272,supermarket,Put Stinica 1,Split,21000,43.524116,16.447914,+385800400000
76,konzum,0115,supermarket,Svilajska 20,Šibenik,22000,43.7496902,15.8921162,+385800400000
53,konzum,0872,supermarket,Josipa Strossmayera 6,Zadar,23000,44.11687,15.232444,+385800400000
64,konzum,3256,supermarket,Kardinala Kuharića 10,Ludbreg,42230,46.2485,16.62124,+385800400000
27,konzum,0154,supermarket,Hum Na Sutli 157,Hum Na Sutli,49231,46.222503,15.698871,+385800400000
54,konzum,0760,supermarket,Vukovarska 4,Sinj,21230,43.70266,16.642487,+385800400000
14,konzum,0907,supermarket,Ive Tijardovića 4A,Osijek,31000,45.556167,18.720548,+385800400000
83,konzum,0333,supermarket,Trg Žrtava Fašizma 18,Zaprešić,10290,45.856784,15.804258,+385800400000
19,konzum,0902,supermarket,Osječka 11,Čepin,31431,45.52499,18.578838,+385800400000
80,konzum,0229,supermarket,Dr. Franje Tuđmana 4,Ilok,32236,45.224296,19.369348,+385800400000
41,konzum,3299,supermarket,Vladimira Nazora 9,Otok,32252,45.1463512,18.8820098,+385800400000
45,konzum,0892,supermarket,Trg Marka Miličića 8,Hvar,21450,43.172466,16.441507,+385800400000
28,konzum,0909,supermarket,Dvanaest Redarstvenika 2A,Vukovar,32000,45.3810904,18.9558762,+385800400000
61,konzum,1601,supermarket,Čiponjac 1 Br.2,Novalja,53291,44.54491,14.89447,+385800400000
34,konzum,0700,supermarket,Sveti Martin 6,Vrsar,52450,45.151664,13.61738,+385800400000
3,konzum,1730,supermarket,Veliko Brdo 1A,Makarska,21300,43.3104,17.01066,+385800400000
39,konzum,0454,supermarket,Zagrebačka 18,Gospić,53000,44.552646,15.374567,+385800400000
78,konzum,3291,hipermarket,Put Kozjaka 2,Kaštel Sućurac,21212,43.5481498,16.4085484,+385800400000
11,konzum,0205,hipermarket,Sarajevska 6,Zagreb,10000,45.769508,16.003862,+385800400000
60,konzum,0204,supermarket,Žitna 1A,Ivanić Grad,10310,45.706284,16.411398,+385800400000
16,konzum,1710,supermarket,Gornja Čibača 14,Mlini,20207,42.63169,18.16508,+385800400000
48,konzum,0638,supermarket,Muntriljska 1A,Pazin,52000,45.2408746,13.9358071,+385800400000
75,konzum,0354,supermarket,Tn V. Rubin,Rovinj,52210,45.062971,13.664928,+385800400000
37,konzum,1625,supermarket,Magistrala 67,Vodice,22211,43.7654825,15.7964316,+385800400000
85,konzum,0865,supermarket,Mala Raduča 20,Primošten,22202,43.587574,15.923807,+385800400000
77,konzum,0895,supermarket,1. Svibnja 4,Umag,52470,45.432167,13.521987,+385800400000
15,konzum,0159,supermarket,Trg A. Starčevića 5,Sv. Ivan Zelina,10380,45.960006,16.24208,+385800400000
5,konzum,0767,supermarket,Kneza Branimira 32,Biograd Na Moru,23210,43.9411553,15.445804,+385800400000
13,konzum,0209,supermarket,Kralja Zvonimira 8,Brckovljani,10370,45.823146,16.294286,+385800400000
29,konzum,0277,hipermarket,Zagrebačka Av. 108,Zagreb,10000,45.797905,15.893106,+385800400000
68,konzum,1410,supermarket,Osječka 6,Virovitica,33000,45.821838,17.409494,+385800400000
18,konzum,0720,supermarket,Zagrebačka 10,Varaždin,42000,46.303901,16.336475,+385800400000
10,konzum,3290,hipermarket,Antuna Gustava Matoša 10,Solin,21210,43.5297988,16.49178,+385800400000
59,konzum,0737,hipermarket,Petrinjska 11 A,Sisak,44000,45.453929,16.372833,+385800400000
69,konzum,3203,supermarket,Tomislavova 11,Zagreb,10000,45.80883,15.93087,+385800400000
81,konzum,0913,supermarket,Veliki Kraj 77,Županja,32270,45.073337,18.696254,+385800400000
35,konzum,1405,supermarket,Trg 1. Hrv. Sveučilišta 4,Lepoglava,42250,46.21019,16.03837,+385800400000
86,konzum,3221,supermarket,Trg Milana Šuflaja 1,Karlovac,47000,45.4928485,15.5489427,+385800400000
46,konzum,0905,supermarket,Osječka 1,Valpovo,31550,45.658039,18.419565,+385800400000
72,konzum,3295,hipermarket,Zaprešićka 2,Jablanovec,10290,45.8713135,15.827491,+385800400000
65,konzum,0341,supermarket,M. Marulića 24,Rovinj,52210,45.074039,13.649497,+385800400000
24,konzum,0202,hipermarket,Grada Wirgesa 2C,Samobor,10430,45.80072,15.725668,+385800400000
6,konzum,1258,supermarket,Kanalski Put 40,Zagreb,10000,45.7927458,16.0475415,+385800400000
42,konzum,0903,supermarket,Sjenjak 133,Osijek,31000,45.550834,18.695827,+385800400000
71,konzum,0060,supermarket,Hrvatskih Generala 5,Knin,22300,44.065952,16.213596,+385800400000
4719,eurospin,310007,diskontna_prodavaonica,Ulica kralja Tomislava 47A,Križevci,48260,46.0174007866575,16.5469206,
66,konzum,1620,supermarket,Dalmatinskog Sabora 8,Zadar,23000,44.11574,15.22752,+385800400000
50,konzum,0220,hipermarket,Dankovečka 95,Zagreb,10040,45.8418979,16.0545432,+385800400000
17,konzum,0756,supermarket,Alojzija Stepinca 1,Trogir,21220,43.51901,16.25032,+385800400000
9,konzum,0216,hipermarket,Huzjanova 2,Zagreb,10090,45.815731,15.867838,+385800400000
33,konzum,0203,hipermarket,Ilica 288,Zagreb,10000,45.816382,15.9340679,+385800400000
63,konzum,0536,supermarket,Trg A. Starčevića 1,Knin,22300,44.0375,16.19749,+385800400000
130,konzum,1231,supermarket,Velikopoljska 12,Zagreb,10010,45.738605,16.01647,+385800400000
154,konzum,3204,supermarket,Slavka Kolara 2,Velika Gorica,10410,45.71524,16.07114,+385800400000
97,konzum,1816,supermarket,Kralja Zvonimira 28,Bilje,31327,45.601078,18.742635,+385800400000
128,konzum,1425,supermarket,Trg Kralja Tomislava 20A,Pitomača,33405,45.9525327,17.231768,+385800400000
107,konzum,0901,supermarket,Željeznička Ulica 22,Belišće,31551,45.684883,18.40862,+385800400000
123,konzum,0440,supermarket,Turinina 11,Zagreb,10000,45.7732097,15.9899968,+385800400000
155,konzum,0530,supermarket,Zrinsko - Frankopanska 5,Čakovec,40000,46.385883,16.424776,+385800400000
148,konzum,3262,supermarket,Ulica Kneza Domagoja 5,Koprivnica,48000,46.1644878,16.8365483,+385800400000
131,konzum,1700,supermarket,Glavina Donja 336,Imotski,21260,43.44226,17.20199,+385800400000
166,konzum,1735,supermarket,Dr. Franje Tuđmana 2A,Kupari,20207,42.62351,18.19236,+385800400000
160,konzum,1513,supermarket,Palit 134,Rab,51280,44.76376,14.7596,+385800400000
167,konzum,1200,supermarket,Zagrebačka 115,Vrbovec,10340,45.878788,16.398015,+385800400000
157,konzum,0787,supermarket,Vladimira Nazora 2G,Dubrovnik,20000,42.6482888,18.0959101,+385800400000
104,konzum,0904,supermarket,Republike 1,Beli Manastir,31300,45.7708407,18.5990309,+385800400000
141,konzum,1412,supermarket,Hrvatskih Branitelja 7,Krapina,49000,46.160492,15.8724103,+385800400000
164,konzum,1540,supermarket,Kukuljanovo 361,Kukuljanovo,51227,45.3361795,14.5056736,+385800400000
152,konzum,1406,supermarket,Kralja Tomislava 94,Kotoriba,40329,46.354145,16.812358,+385800400000
134,konzum,3201,supermarket,Ulica Bleiburških Žrtava 19451,Samobor,10430,45.8120035,15.7119214,+385800400000
115,konzum,0133,supermarket,Ulica Luke 54,Murter,22243,43.8214122,15.5868044,+385800400000
129,konzum,0521,supermarket,Matice Hrvatske 14 A,Bjelovar,43000,45.895992,16.841447,+385800400000
165,konzum,1415,supermarket,Ulica Grada Lipika 15,Donji Kneginec,42204,46.2645456,16.3752004,+385800400000
170,konzum,1242,supermarket,Koledinečka 6,Zagreb,10040,45.831072,16.0587877,+385800400000
150,konzum,0613,supermarket,Valkanela 10,Vrsar,52450,45.164828,13.606152,+385800400000
156,konzum,3270,hipermarket,Šijanska Cesta 1,Pula,52100,44.8834931,13.868421,+385800400000
127,konzum,0018,supermarket,Mirka Deanovića 19,Zagreb,10000,45.838127,16.048297,+385800400000
96,konzum,3282,supermarket,Trg Sv. Jurja 1,Korenica,53230,44.7444253,15.7066893,+385800400000
94,konzum,0715,supermarket,Splitska 27,Metković,20350,43.050685,17.632202,+385800400000
135,konzum,1528,supermarket,Tomasinijeva Ul.26,Pula,52100,44.8574859,13.838913,+385800400000
113,konzum,0005,supermarket,Meštrovićev Trg 1,Zagreb,10000,45.7787972,15.995777,+385800400000
143,konzum,0185,supermarket,Vladimira Nazora 58,Zlatar Bistrica,49247,46.044664,16.083927,+385800400000
125,konzum,0286,supermarket,Istarska Ulica 64,Vodnjan,52215,44.953487,13.853207,+385800400000
145,konzum,1737,supermarket,Dubravica 17,Orebić,20250,42.9832014,17.1982192,+385800400000
133,konzum,3228,supermarket,Jozefinska Cesta 8,Duga Resa,47250,45.4491334,15.5004477,+385800400000
149,konzum,1800,supermarket,Ulica Grada Vukovara 5,Našice,31500,45.4969397,18.0963814,+385800400000
118,konzum,0181,supermarket,Trg Hrvatskog Preporoda 7,Oriovac,35250,45.166339,17.755075,+385800400000
162,konzum,0906,supermarket,Strossmayerova 242,Osijek,31000,45.56546,18.64801,+385800400000
90,konzum,3259,supermarket,Kralja Zvonimira 59,Prelog,40323,46.3393467,16.6278437,+385800400000
147,konzum,0453,supermarket,Josipa Bana Jelačića 3,Otočac,53220,44.867904,15.234555,+385800400000
144,konzum,3205,supermarket,Centar Kaptol Nova Ves 17,Zagreb,10000,45.820228,15.9773008,+385800400000
103,konzum,1404,supermarket,Stjepana Radića 47,Veliko Trgovišće,49214,45.99533,15.846169,+385800400000
106,konzum,1270,supermarket,Gračanska Cesta 208,Zagreb,10000,45.8621338,15.985699,+385800400000
116,konzum,1232,supermarket,Trg Petra Preradovića 6,Zagreb,10000,45.812149,15.97277,+385800400000
91,konzum,0158,hipermarket,Kralja Držislava 22,Split,21000,43.506038,16.504735,+385800400000
137,konzum,0010,supermarket,Aleja Javora 2A,Zagreb,10000,45.827542,16.068095,+385800400000
140,konzum,0732,supermarket,Trg Republike 6,Čakovec,40000,46.3902694,16.4340568,+385800400000
98,konzum,0772,supermarket,Trg Stjepana Radića 3,Gospić,53000,44.5470288,15.3712181,+385800400000
138,konzum,3273,supermarket,Istarska 50,Labin,52220,45.1058314,14.1168841,+385800400000
119,konzum,1241,supermarket,Cenkovečka 2,Zagreb,10000,45.79342,15.91182,+385800400000
102,konzum,0908,supermarket,Opatijska 26F,Osijek,31000,45.542869,18.719583,+385800400000
158,konzum,1401,supermarket,Ivanečko Naselje 1E,Ivanec,42240,46.23318,16.1449371,+385800400000
124,konzum,1259,supermarket,Strojarska 24,Zagreb,10000,45.8041264,15.9898511,+385800400000
151,konzum,3250,supermarket,Gustava Krkleca 1A,Varaždin,42000,46.3112778,16.3264769,+385800400000
142,konzum,1411,supermarket,Možđenec 1K,Novi Marof,42220,46.1591722,16.3344537,+385800400000
101,konzum,0640,supermarket,Ruđera Boškovića 25,Varaždin,42000,46.315063,16.343032,+385800400000
161,konzum,0910,supermarket,V.Nazora 6,Đakovo,31400,45.317714,18.418256,+385800400000
89,konzum,0195,supermarket,Andrije Lustiga Dade 19,Garešnica,43280,45.575248,16.943149,+385800400000
